hobby,count
지역 배드민턴 동호회 활동,201
임영웅 노래 감상,163
유튜브 트로트 영상 시청,162
네이버 웹툰 정주행,130
베란다 텃밭 가꾸기,127
리그 오브 레전드 게임,88
지역 배드민턴 클럽 활동,87
동네 목욕탕 사우나,79
동네 배드민턴 클럽 활동,76
북한산 둘레길 산책,74
전국 노포 맛집 탐방,73
동네 사우나 방문,73
모바일 퍼즐 게임,72
기구 필라테스,67
모바일 전략 시뮬레이션 게임,66
동네 사우나 이용,66
동네 사우나에서 반신욕 하기,64
유튜브 건강 정보 시청,64
코인 노래방 방문,59
배드민턴 동호회 활동,57
임영웅 노래 따라 부르기,56
웹툰 정주행,54
동네 배드민턴 동호회 활동,54
동네 빵집 투어,54
전략 시뮬레이션 게임,52
헬스장 웨이트 트레이닝,51
넷플릭스 드라마 정주행,51
동네 목욕탕 사우나 이용,49
닌텐도 스위치 게임,49
모바일 전략 게임,48
동네 사우나에서 즐기는 반신욕,48
리그 오브 레전드,46
임영웅 노래 듣기,46
동네 사우나 단골 방문,46
관악산 둘레길 산책,46
동네 산책로 걷기,46
오후의 짧은 낮잠,46
가족과 함께하는 자연 경관 여행,45
반려견과 함께하는 동네 산책,45
동네 목욕탕 온탕 입욕,45
넷플릭스 시리즈 정주행,44
유튜브 브이로그 시청,44
경주 및 부여 역사 유적지 탐방,42
유튜브 영상 시청,41
임영웅 노래 영상 시청,41
동네 단골 사우나 방문,40
TV 건강 정보 프로그램 시청,40
동네 사우나 단골 모임,40
트로트 음악 감상,40
프로야구 경기 시청,39
트로트 프로그램 시청,39
유튜브 트로트 공연 영상 시청,38
넷플릭스 다큐멘터리 시청,38
MBC 표준FM 라디오 청취,38
TV 트로트 프로그램 시청,37
전국 유명 빵집 투어,37
넷플릭스 범죄 다큐멘터리 시청,37
태화강 국가정원 산책,36
유튜브 인테리어 영상 시청,36
자연 풍경 사진 촬영,36
뉴진스 음악 감상,36
최신 개봉 영화 관람,35
무등산 둘레길 산책,35
전국 역사 유적지 답사,34
국립현대미술관 전시 관람,34
베란다 텃밭 채소 가꾸기,33
베란다 화초 가꾸기,33
낮잠 자기,33
가족과 함께하는 온천 여행,33
동네 사우나에서 휴식하기,32
유튜브 일상 브이로그 시청,32
동네 친구들과의 전화 수다,32
TV 트로트 경연 프로그램 시청,32
주민센터 배드민턴 동호회 활동,31
현대 미술 전시 관람,31
동네 사우나 정기 방문,31
전략 보드게임,31
유튜브 역사 다큐멘터리 시청,30
동네 유명 빵집 투어,30
유튜브 전자기기 리뷰 시청,30
인문학 팟캐스트 청취,30
대학로 소극장 연극 관람,30
북한산 둘레길 트레킹,29
3쿠션 당구,29
웨이트 트레이닝,29
국내 역사 유적지 탐방,29
트로트 경연 프로그램 시청,29
동네 분식집 맛집 탐방,28
스마트폰 풍경 사진 촬영,28
동네 친구들과의 수다,28
